code, expirydate, # trades, amount, delta, bidticksize, askticksize, bidfutunit, askfutunit
KR4201H92754, 20130913, 294, 7, 0.215113, 0.070000, 0.200000, 0.325410, 0.929744
KR4201H92804, 20130913, 210, 3, 0.164039, 0.010000, 0.010000, 0.060961, 0.060961
KR4301H52376, 20130510, 20521, 81, -0.207809, 0.010000, 0.010000, -0.048121, -0.048121
KR4301H52400, 20130510, 20836, 36, -0.248986, 0.010000, 0.010000, -0.040163, -0.040163
KR4301H52426, 20130510, 9011, 108, -0.296545, 0.050000, 0.050000, -0.168608, -0.168608
KR4301H52459, 20130510, 4271, 79, -0.351998, 0.050000, 0.050000, -0.142046, -0.142046
KR4301H52475, 20130510, 3994, 52, -0.412443, 0.050000, 0.050000, -0.121229, -0.121229
KR4301H52509, 20130510, 4142, 54, -0.477910, 0.050000, 0.050000, -0.104622, -0.104622
KR4301H52525, 20130510, 5447, 30, -0.546907, 0.050000, 0.050000, -0.091423, -0.091423
KR4301H52558, 20130510, 2484, 17, -0.614993, 0.050000, 0.050000, -0.081302, -0.081302
KR4301H52574, 20130510, 670, 12, -0.673789, 0.100000, 0.050000, -0.148414, -0.074207
KR4301H52608, 20130510, 640, 12, -0.751853, 0.050000, 0.050000, -0.066502, -0.066502
KR4301H52624, 20130510, 92, 12, -0.789834, 0.250000, 0.100000, -0.316522, -0.126609
KR4301H52657, 20130510, 399, 12, -0.826660, 0.200000, 0.100000, -0.241937, -0.120969
KR4301H52707, 20130510, 24, 18, -0.893251, 0.100000, 0.100000, -0.111951, -0.111951
KR4301H52723, 20130510, 1, 30, -0.999781, 0.050000, 0.150000, -0.050011, -0.150033
KR4301H52756, 20130510, 1, 30, -0.937042, 0.050000, 0.100000, -0.053359, -0.106719
KR4301H52772, 20130510, 1, 30, -0.999995, 0.050000, 0.100000, -0.050000, -0.100001
KR4301H52806, 20130510, 1, 30, -1.000000, 0.050000, 0.100000, -0.050000, -0.100000
KR4301H52822, 20130510, 1, 33, -0.951502, 0.300000, 0.100000, -0.315291, -0.105097
KR4301H62375, 20130614, 1295, 22, -0.251637, 0.050000, 0.050000, -0.198699, -0.198699
KR4301H62409, 20130614, 1240, 2, -0.287180, 0.050000, 0.050000, -0.174107, -0.174107
KR4301H62425, 20130614, 1118, 15, -0.316611, 0.050000, 0.050000, -0.157922, -0.157922
KR4301H62458, 20130614, 1437, 14, -0.366070, 0.050000, 0.050000, -0.136586, -0.136586
KR4301H62474, 20130614, 1278, 7, -0.415159, 0.050000, 0.050000, -0.120436, -0.120436
KR4301H62508, 20130614, 500, 127, -0.461192, 0.050000, 0.050000, -0.108415, -0.108415
KR4301H62524, 20130614, 494, 10, -0.502743, 0.050000, 0.100000, -0.099454, -0.198909
KR4301H62557, 20130614, 401, 9, -0.553518, 0.050000, 0.100000, -0.090331, -0.180663
KR4301H62573, 20130614, 406, 9, -0.602598, 0.050000, 0.100000, -0.082974, -0.165948
KR4301H62607, 20130614, 178, 6, -0.644831, 0.100000, 0.100000, -0.155079, -0.155079
KR4301H62623, 20130614, 30, 6, -0.676828, 0.100000, 0.650000, -0.147748, -0.960362
KR4301H62656, 20130614, 29, 6, -0.741758, 0.100000, 0.550000, -0.134815, -0.741482
KR4301H62672, 20130614, 75, 6, -0.789013, 0.150000, 2.550000, -0.190111, -3.231886
KR4301H62706, 20130614, 13, 6, -0.826091, 0.100000, 1.100000, -0.121052, -1.331572
KR4301H62722, 20130614, 13, 6, -0.867028, 0.100000, 1.100000, -0.115337, -1.268702
KR4301H62755, 20130614, 13, 6, -0.895463, 0.100000, 1.050000, -0.111674, -1.172578
KR4301H62771, 20130614, 13, 6, -0.869928, 0.100000, 1.050000, -0.114952, -1.206996
KR4301H62805, 20130614, 10, 6, -0.918498, 0.200000, 1.000000, -0.217747, -1.088734
KR4301H62821, 20130614, 10, 6, -0.947389, 0.200000, 0.100000, -0.211107, -0.105553
KR4301H62854, 20130614, 10, 6, -0.939930, 1.000000, 0.950000, -1.063909, -1.010714
KR4301H72374, 20130712, 246, 12, -0.265617, 0.050000, 0.050000, -0.188241, -0.188241
KR4301H72408, 20130712, 221, 13, -0.292097, 2.380000, 2.100000, -8.147978, -7.189393
KR4301H72424, 20130712, 364, 17, -0.305443, 0.350000, 3.550000, -1.145877, -11.622463
KR4301H72457, 20130712, 349, 10, -0.342212, 0.150000, 0.250000, -0.438325, -0.730541
KR4301H72473, 20130712, 410, 16, -0.377063, 0.150000, 3.500000, -0.397812, -9.282268
KR4301H72507, 20130712, 485, 16, -0.418639, 0.200000, 0.150000, -0.477739, -0.358304
KR4301H72523, 20130712, 123, 2, -0.462577, 0.050000, 0.150000, -0.108090, -0.324270
KR4301H72556, 20130712, 113, 2, -0.506318, 0.050000, 0.150000, -0.098752, -0.296257
KR4301H72572, 20130712, 157, 2, -0.555176, 0.050000, 0.050000, -0.090062, -0.090062
KR4301H72606, 20130712, 110, 2, -0.600911, 0.150000, 0.150000, -0.249621, -0.249621
KR4301H72622, 20130712, 10, 2, -0.646903, 0.100000, 0.100000, -0.154583, -0.154583
KR4301H72655, 20130712, 13, 2, -0.684886, 0.100000, 0.950000, -0.146010, -1.387092
KR4301H72671, 20130712, 13, 2, -0.731866, 0.100000, 0.100000, -0.136637, -0.136637
KR4301H72705, 20130712, 13, 2, -0.771425, 0.100000, 0.950000, -0.129630, -1.231487
KR4301H92356, 20130913, 285, 45, -0.263798, 0.050000, 0.300000, -0.189539, -1.137234
KR4301H92406, 20130913, 195, 6, -0.314881, 0.050000, 0.050000, -0.158790, -0.158790
KR4301H92455, 20130913, 302, 9, -0.351863, 0.150000, 0.150000, -0.426302, -0.426302
KR4301H92505, 20130913, 369, 6, -0.431896, 0.050000, 0.350000, -0.115769, -0.810380
KR4301H92554, 20130913, 366, 2, -0.480168, 0.150000, 0.050000, -0.312391, -0.104130
KR4301H92604, 20130913, 403, 2, -0.548603, 0.050000, 0.050000, -0.091141, -0.091141
KR4301H92653, 20130913, 237, 2, -0.639433, 0.050000, 0.050000, -0.078194, -0.078194
KR4301H92703, 20130913, 13, 2, -0.689776, 0.100000, 0.950000, -0.144975, -1.377259
KR4301H92752, 20130913, 10, 2, -0.740251, 0.200000, 0.950000, -0.270179, -1.283348
KR4301H92802, 20130913, 83, 2, -0.813489, 0.050000, 0.050000, -0.061464, -0.061464
KR4401H6H9S8, 20130614, 1, 80, 1.000000, 0.050000, 0.050000, 0.050000, 0.050000
