code, expirydate, # trades, amount, delta, bidticksize, askticksize, bidfutunit, askfutunit
KR4201H92754, 20130913, 294, 40, 0.215113, 0.050000, 0.050000, 0.232436, 0.232436
KR4201H92804, 20130913, 210, 4, 0.164039, 0.040000, 0.010000, 0.243844, 0.060961
KR4301H52376, 20130510, 20521, 21, -0.207809, 0.010000, 0.010000, -0.048121, -0.048121
KR4301H52400, 20130510, 20836, 14, -0.248986, 0.010000, 0.010000, -0.040163, -0.040163
KR4301H52426, 20130510, 9011, 9, -0.296545, 0.010000, 0.010000, -0.033722, -0.033722
KR4301H52459, 20130510, 4271, 56, -0.351998, 0.050000, 0.050000, -0.142046, -0.142046
KR4301H52475, 20130510, 3994, 50, -0.412443, 0.050000, 0.050000, -0.121229, -0.121229
KR4301H52509, 20130510, 4142, 34, -0.477910, 0.050000, 0.050000, -0.104622, -0.104622
KR4301H52525, 20130510, 5447, 15, -0.546907, 0.050000, 0.050000, -0.091423, -0.091423
KR4301H52558, 20130510, 2484, 4, -0.614993, 0.050000, 0.050000, -0.081302, -0.081302
KR4301H52574, 20130510, 670, 12, -0.673789, 0.050000, 0.050000, -0.074207, -0.074207
KR4301H52608, 20130510, 640, 12, -0.751853, 0.050000, 0.100000, -0.066502, -0.133005
KR4301H52624, 20130510, 92, 30, -0.789834, 0.050000, 0.300000, -0.063304, -0.379827
KR4301H52657, 20130510, 399, 4, -0.826660, 0.100000, 0.050000, -0.120969, -0.060484
KR4301H52707, 20130510, 24, 29, -0.893251, 0.100000, 0.300000, -0.111951, -0.335852
KR4301H52723, 20130510, 1, 30, -0.999781, 0.050000, 0.150000, -0.050011, -0.150033
KR4301H52756, 20130510, 1, 30, -0.937042, 0.050000, 0.100000, -0.053359, -0.106719
KR4301H52772, 20130510, 1, 30, -0.999995, 0.050000, 0.100000, -0.050000, -0.100001
KR4301H52806, 20130510, 1, 30, -1.000000, 0.050000, 0.100000, -0.050000, -0.100000
KR4301H52822, 20130510, 1, 33, -0.951502, 0.300000, 0.100000, -0.315291, -0.105097
KR4301H62375, 20130614, 1295, 43, -0.251637, 0.050000, 0.050000, -0.198699, -0.198699
KR4301H62409, 20130614, 1240, 4, -0.287180, 0.050000, 0.050000, -0.174107, -0.174107
KR4301H62425, 20130614, 1118, 36, -0.316611, 0.050000, 0.450000, -0.157922, -1.421302
KR4301H62458, 20130614, 1437, 22, -0.366070, 0.050000, 0.050000, -0.136586, -0.136586
KR4301H62474, 20130614, 1278, 16, -0.415159, 0.050000, 0.250000, -0.120436, -0.602179
KR4301H62508, 20130614, 500, 28, -0.461192, 0.050000, 0.250000, -0.108415, -0.542074
KR4301H62524, 20130614, 494, 21, -0.502743, 0.050000, 3.750000, -0.099454, -7.459079
KR4301H62557, 20130614, 401, 28, -0.553518, 0.400000, 3.700000, -0.722650, -6.684516
KR4301H62573, 20130614, 406, 32, -0.602598, 0.400000, 0.100000, -0.663792, -0.165948
KR4301H62607, 20130614, 178, 18, -0.644831, 0.050000, 0.050000, -0.077540, -0.077540
KR4301H62623, 20130614, 30, 18, -0.676828, 0.100000, 0.650000, -0.147748, -0.960362
KR4301H62656, 20130614, 29, 18, -0.741758, 0.150000, 0.150000, -0.202222, -0.202222
KR4301H62672, 20130614, 75, 4, -0.789013, 0.050000, 0.150000, -0.063370, -0.190111
KR4301H62706, 20130614, 13, 18, -0.826091, 0.200000, 1.100000, -0.242104, -1.331572
KR4301H62722, 20130614, 13, 18, -0.867028, 0.100000, 1.100000, -0.115337, -1.268702
KR4301H62755, 20130614, 13, 18, -0.895463, 0.100000, 1.050000, -0.111674, -1.172578
KR4301H62771, 20130614, 13, 18, -0.869928, 0.150000, 1.050000, -0.172428, -1.206996
KR4301H62805, 20130614, 10, 18, -0.918498, 0.200000, 1.000000, -0.217747, -1.088734
KR4301H62821, 20130614, 10, 18, -0.947389, 0.200000, 0.100000, -0.211107, -0.105553
KR4301H62854, 20130614, 10, 18, -0.939930, 1.000000, 0.950000, -1.063909, -1.010714
KR4301H72374, 20130712, 246, 19, -0.265617, 0.050000, 0.050000, -0.188241, -0.188241
KR4301H72408, 20130712, 221, 22, -0.292097, 0.050000, 0.100000, -0.171176, -0.342352
KR4301H72424, 20130712, 364, 16, -0.305443, 2.830000, 0.050000, -9.265231, -0.163697
KR4301H72457, 20130712, 349, 9, -0.342212, 0.050000, 0.050000, -0.146108, -0.146108
KR4301H72473, 20130712, 410, 13, -0.377063, 0.050000, 0.050000, -0.132604, -0.132604
KR4301H72507, 20130712, 485, 13, -0.418639, 0.050000, 0.050000, -0.119435, -0.119435
KR4301H72523, 20130712, 123, 9, -0.462577, 3.900000, 3.550000, -8.431029, -7.674398
KR4301H72556, 20130712, 113, 9, -0.506318, 3.900000, 0.050000, -7.702669, -0.098752
KR4301H72572, 20130712, 157, 9, -0.555176, 3.900000, 3.500000, -7.024799, -6.304307
KR4301H72606, 20130712, 110, 9, -0.600911, 0.950000, 0.050000, -1.580933, -0.083207
