72,settletheordiffsign,9,1,*선물 10:정산가없음 11:당일종가(실세) 12:당일기세(거래성립후기세) - 2010.12.20 삭제 13:전일정산가(거래성립후 종가미형성) - 2010.12.20 삭제 14:당일이론가(거래성립후 종가미형성) 15:스프레드분 종가 - 2010.12.20 삭제 16:조정된 전일 정산가 - 2010.12.20 삭제 17:대상자산 종가(이론가없는 상품) 18:정산기준가격 - 2010.12.20 추가
73,settletheoreticdiff,9,12,
74,prevdayunsettledcontractnum,9,10,에) 999999.999999
75,prevbestaskprice,9,12,
76,prevbestbidsign,9,1,
77,prevbestbidprice,9,12,예) 9999999999.99
78,impliedvolatility,9,10,
79,underlyingmaxdelta,9,6,예) 9999999999.99
80,alltimehighestsign,9,1,예) 999999.9999
81,alltimehighestprice,9,12,1:%; 2:절대값
82,alltimelowestsign,9,1,예) 9999.99
83,alltimelowestprice,9,12,
84,annualhighestsign,9,1,예) 9999999999.99
85,annualhighestprice,9,12,
86,annuallowestsign,9,1,예) 9999999999.99
87,annuallowestprice,9,12,
88,alltimelowestdate,9,8,예) 9999999999.99
89,annualhighestdate,9,8,
90,annuallowestdate,9,8,예) 9999999999.99
91,annualbasedaysnum,9,8,
92,monthlytradedaysnum,9,8,
93,yearlytradedaysnum,9,8,
94,prevdaycontractsnum,9,16,
95,prevdayquantity,9,12,
96,prevdaytotalamount,9,22,
97,prevdayblocktradequantity,9,12,
98,prevdayblocktradeamount,9,22,
99,rate_cd,9,6,
100,maxunsettledcontractsnum,9,8,
101,affiliatedcommoditygroup,9,4,
102,limitorderconditioncode,9,1,
103,marketorderconditioncode,9,1,예) 999.999
104,conditionallimitorderconditioncode,9,1,*적용일에 적용되는 상품의 계좌별 미결제 한도 계약수. 미결제 한도가 적용되지 않은 상품은 0 *주식선물에만 해당
105,bestlimitorderconditioncode,9,1,*주식선물/옵션에만 해당
106,subjectedtoefpyn,9,1,*백분율로 표시 *주식선물/옵션에만 해당예) 999.99
107,subjectedtoflexyn,9,1,0:불가 1:가능(FAS;FOK;FAK가능) 2:가능(FAS만가능)
108,prevdayefpquantity,9,12,
109,prevdayefpamount,9,22,
110,closureyn,9,1,
111,filler,9,133,Y; N; 상품선물만 해당
112,eot,9,1,Y; N; 상품선물만 해당
0,KrxFuturesBestQuotation,,,상품선물만 해당
1,datatype,9,2,상품선물만 해당
2,infotype,9,2,휴장여부 (Y;N); 20121217
3,markettype,9,1,170 => 134; 20090831 134 => 133; 20121217
4,krcode,X,12,%Hff
5,seq,9,2,
6,marketstatecode,9,2,*호가가 처리된 장상태 00 : 초기(장개시전) 10 : 시가단일가 11 : 시가단일가연장 20 : 장중단일가 21 : 장중단일가연장 30 : 종가단일가 40 : 접속 80 : 단위매매체결(주식관련상품) 90 : 거래정지 99 : 장종료
7,bidtotalquantity,9,6,
8,bid1sign,9,1,
9,bid1price,9,5,예) 999.99
10,bid1quantity,9,6,
11,bid2sign,9,1,
12,bid2price,9,5,예) 999.99
13,bid2quantity,9,6,
14,bid3sign,9,1,
15,bid3price,9,5,예) 999.99
16,bid3quantity,9,6,
17,bid4sign,9,1,
18,bid4price,9,5,예) 999.99
19,bid4quantity,9,6,
20,bid5sign,9,1,
21,bid5price,9,5,예) 999.99
22,bid5quantity,9,6,
23,asktotalquantity,9,6,
24,ask1sign,9,1,
25,ask1price,9,5,예) 999.99
26,ask1quantity,9,6,
27,ask2sign,9,1,
28,ask2price,9,5,예) 999.99
29,ask2quantity,9,6,
30,ask3sign,9,1,
31,ask3price,9,5,예) 999.99
32,ask3quantity,9,6,
33,ask4sign,9,1,
34,ask4price,9,5,예) 999.99
35,ask4quantity,9,6,
36,ask5sign,9,1,
37,ask5price,9,5,예) 999.99
38,ask5quantity,9,6,
39,bidtotalvalidnum,9,5,
40,bid1totalvalidnum,9,4,
41,bid2totalvalidnum,9,4,
42,bid3totalvalidnum,9,4,
43,bid4totalvalidnum,9,4,
44,bid5totalvalidnum,9,4,
45,asktotalvalidnum,9,5,
46,ask1totalvalidnum,9,4,
47,ask2totalvalidnum,9,4,
48,ask3totalvalidnum,9,4,
49,ask4totalvalidnum,9,4,
50,ask5totalvalidnum,9,4,
51,timestamp,9,8,
52,expectedpricesign,9,1,단일가매매시만 제공 (장상태구분코드:10;20;30;80)
53,expectedprice,9,5,예) 999.99 단일가매매시만 제공 (장상태구분코드:10;20;30;80)
54,eot,9,1,%Hff
0,KrxFuturesTrade,,,
1,datatype,9,2,A3
2,infotype,9,2,01:KOSPI200지수선물
3,markettype,9,1,4
4,krcode,X,12,
5,seq,9,2,
6,currentpricesign,9,1,
7,currentprice,9,5,예) 999.99
8,tradequantity,9,6,
9,tradetype,9,2,1)일반매매  10 : 시가단일가 11 : 시가단일가연장 20 : 장중단일가 21 : 장중단일가연장 30 : 종가단일가  40 : 접속 80 : 단위매매체결
10,timestamp,9,8,
11,closesttradeprice,9,5,예) 999.99
12,distanttradeprice,9,5,예) 999.99
13,marketpricesign,9,1,
14,marketprice,9,5,예) 999.99
15,highpricesign,9,1,
16,highprice,9,5,예) 999.99
17,lowpricesign,9,1,
18,lowprice,9,5,예) 999.99
19,lastpricesign,9,1,
20,lastprice,9,5,예) 999.99
21,accumtradequantity,9,7,
22,accumtradeamount,9,12,단위:천원; 자릿수 변경(11->12) - 2011.05.23
23,eot,9,1,%Hff
0,KrxFuturesTradeBestQuotation,,,
1,datatype,9,2,G7
2,infotype,9,2,01:KOSPI200지수선물
3,markettype,9,1,4
4,krcode,X,12,
5,seq,9,2,
6,currentpricesign,9,1,
7,currentprice,9,5,예) 999.99
8,tradequantity,9,6,
9,tradetype,9,2,1)일반매매  10 : 시가단일가 11 : 시가단일가연장 20 : 장중단일가 21 : 장중단일가연장 30 : 종가단일가  40 : 접속 80 : 단위매매체결
10,timestamp,9,8,
11,closesttradeprice,9,5,예) 999.99
12,distanttradeprice,9,5,예) 999.99
13,marketpricesign,9,1,
14,marketprice,9,5,예) 999.99
15,highpricesign,9,1,
16,highprice,9,5,예) 999.99
17,lowpricesign,9,1,
18,lowprice,9,5,예) 999.99
19,lastpricesign,9,1,
20,lastprice,9,5,예) 999.99
21,accumtradequantity,9,7,
22,accumtradeamount,9,12,단위:천원;  자릿수 변경(11->12) - 2011.05.23
23,marketstatecode,9,2,*호가가 처리된 장상태 00 : 초기(장개시전) 10 : 시가단일가 11 : 시가단일가연장 20 : 장중단일가 21 : 장중단일가연장 30 : 종가단일가 40 : 접속 80 : 단위매매체결(주식관련상품) 90 : 거래정지 99 : 장종료
24,bidtotalquantity,9,6,
25,bid1sign,9,1,
26,bid1price,9,5,예) 999.99
27,bid1quantity,9,6,
28,bid2sign,9,1,
29,bid2price,9,5,예) 999.99
30,bid2quantity,9,6,
31,bid3sign,9,1,
32,bid3price,9,5,예) 999.99
33,bid3quantity,9,6,
34,bid4sign,9,1,
35,bid4price,9,5,예) 999.99
36,bid4quantity,9,6,
37,bid5sign,9,1,
38,bid5price,9,5,예) 999.99
39,bid5quantity,9,6,
40,asktotalquantity,9,6,
41,ask1sign,9,1,
42,ask1price,9,5,예) 999.99
43,ask1quantity,9,6,
44,ask2sign,9,1,
45,ask2price,9,5,예) 999.99
46,ask2quantity,9,6,
47,ask3sign,9,1,
48,ask3price,9,5,예) 999.99
49,ask3quantity,9,6,
50,ask4sign,9,1,
51,ask4price,9,5,예) 999.99
52,ask4quantity,9,6,
53,ask5sign,9,1,
54,ask5price,9,5,예) 999.99
55,ask5quantity,9,6,
56,bidtotalvalidnum,9,5,
57,bid1totalvalidnum,9,4,
58,bid2totalvalidnum,9,4,
59,bid3totalvalidnum,9,4,
60,bid4totalvalidnum,9,4,
61,bid5totalvalidnum,9,4,
62,asktotalvalidnum,9,5,
63,ask1totalvalidnum,9,4,
64,ask2totalvalidnum,9,4,
