KR4101H60001,KR4101H60001,-1,-1,3344
KR4101H60001,KR4101H60001,-1,0,5278
KR4101H60001,KR4101H60001,-1,1,775
KR4101H60001,KR4101H60001,0,-1,54
KR4101H60001,KR4101H60001,0,0,152
KR4101H60001,KR4101H60001,0,1,47
KR4101H60001,KR4101H60001,1,-1,712
KR4101H60001,KR4101H60001,1,0,1201
KR4101H60001,KR4101H60001,1,1,59
KR4101H60001,KR4201H52576,-1,-1,1417
KR4101H60001,KR4201H52576,-1,0,7463
KR4101H60001,KR4201H52576,-1,1,517
KR4101H60001,KR4201H52576,0,-1,40
KR4101H60001,KR4201H52576,0,0,199
KR4101H60001,KR4201H52576,0,1,14
KR4101H60001,KR4201H52576,1,-1,278
KR4101H60001,KR4201H52576,1,0,1538
KR4101H60001,KR4201H52576,1,1,156
KR4101H60001,KR4201H52600,-1,-1,1147
KR4101H60001,KR4201H52600,-1,0,7912
KR4101H60001,KR4201H52600,-1,1,338
KR4101H60001,KR4201H52600,0,-1,36
KR4101H60001,KR4201H52600,0,0,201
KR4101H60001,KR4201H52600,0,1,16
KR4101H60001,KR4201H52600,1,-1,240
KR4101H60001,KR4201H52600,1,0,1614
KR4101H60001,KR4201H52600,1,1,118
KR4101H60001,KR4201H52626,-1,-1,951
KR4101H60001,KR4201H52626,-1,0,8285
KR4101H60001,KR4201H52626,-1,1,161
KR4101H60001,KR4201H52626,0,-1,27
KR4101H60001,KR4201H52626,0,0,222
KR4101H60001,KR4201H52626,0,1,4
KR4101H60001,KR4201H52626,1,-1,198
KR4101H60001,KR4201H52626,1,0,1710
KR4101H60001,KR4201H52626,1,1,64
KR4101H60001,KR4201H52659,-1,-1,609
KR4101H60001,KR4201H52659,-1,0,8713
KR4101H60001,KR4201H52659,-1,1,75
KR4101H60001,KR4201H52659,0,-1,14
KR4101H60001,KR4201H52659,0,0,239
KR4101H60001,KR4201H52659,1,-1,120
KR4101H60001,KR4201H52659,1,0,1836
KR4101H60001,KR4201H52659,1,1,16
KR4201H52576,KR4101H60001,-1,-1,1413
KR4201H52576,KR4101H60001,-1,0,4706
