0,KrxFuturesDesc,,,A0014
100,maxunsettledcontractsnum,9,8,
101,affiliatedcommoditygroup,9,4,
102,limitorderconditioncode,9,1,
103,marketorderconditioncode,9,1,
104,conditionallimitorderconditioncode,9,1,
105,bestlimitorderconditioncode,9,1,
106,subjectedtoefpyn,9,1,
107,subjectedtoflexyn,9,1,
108,prevdayefpquantity,9,12,
109,prevdayefpamount,9,22,
110,closureyn,9,1,
111,filler,9,133,
112,eot,9,1,
0,KrxFuturesBestQuotation,,,B6014
1,datatype,9,2,B6
2,infotype,9,2,01
3,markettype,9,1,4
4,krcode,X,12,
5,seq,9,2,
6,marketstatecode,9,2,*????? o???? ?????? 00 : ???(??????) 10 : ?ð?????? 11 : ?ð?????????? 20 : ???????? 21 : ???????????? 30 : ????????? 40 : ???? 80 : ???????u??(?????u??) 90 : ??????? 99 : ??????
7,bidtotalquantity,9,6,
8,bid1sign,9,1,
9,bid1price,9,5,??) 999.99
10,bid1quantity,9,6,
11,bid2sign,9,1,
12,bid2price,9,5,??) 999.99
13,bid2quantity,9,6,
14,bid3sign,9,1,
15,bid3price,9,5,??) 999.99
16,bid3quantity,9,6,
17,bid4sign,9,1,
18,bid4price,9,5,??) 999.99
19,bid4quantity,9,6,
20,bid5sign,9,1,
21,bid5price,9,5,??) 999.99
22,bid5quantity,9,6,
23,asktotalquantity,9,6,
24,ask1sign,9,1,
25,ask1price,9,5,??) 999.99
26,ask1quantity,9,6,
27,ask2sign,9,1,
28,ask2price,9,5,??) 999.99
29,ask2quantity,9,6,
30,ask3sign,9,1,
31,ask3price,9,5,??) 999.99
32,ask3quantity,9,6,
33,ask4sign,9,1,
34,ask4price,9,5,??) 999.99
35,ask4quantity,9,6,
36,ask5sign,9,1,
37,ask5price,9,5,??) 999.99
38,ask5quantity,9,6,
39,bidtotalvalidnum,9,5,
40,bid1totalvalidnum,9,4,
41,bid2totalvalidnum,9,4,
42,bid3totalvalidnum,9,4,
43,bid4totalvalidnum,9,4,
44,bid5totalvalidnum,9,4,
45,asktotalvalidnum,9,5,
46,ask1totalvalidnum,9,4,
47,ask2totalvalidnum,9,4,
48,ask3totalvalidnum,9,4,
49,ask4totalvalidnum,9,4,
50,ask5totalvalidnum,9,4,
51,timestamp,9,8,
52,expectedpricesign,9,1,????????ø? ???? (?????±??????:10;20;30;80)
53,expectedprice,9,5,??) 999.99 ????????ø? ???? (?????±??????:10;20;30;80)
54,eot,9,1,%Hff
0,KrxFuturesTrade,,,A3014
1,datatype,9,2,A3
2,infotype,9,2,01:KOSPI200????????
3,markettype,9,1,4
4,krcode,X,12,
5,seq,9,2,
6,currentpricesign,9,1,
7,currentprice,9,5,??) 999.99
8,tradequantity,9,6,
9,tradetype,9,2,1)?????  10 : ?ð?????? 11 : ?ð?????????? 20 : ???????? 21 : ???????????? 30 : ?????????  40 : ???? 80 : ???????u??
10,timestamp,9,8,
11,closesttradeprice,9,5,??) 999.99
12,distanttradeprice,9,5,??) 999.99
13,marketpricesign,9,1,
14,marketprice,9,5,??) 999.99
15,highpricesign,9,1,
16,highprice,9,5,??) 999.99
17,lowpricesign,9,1,
18,lowprice,9,5,??) 999.99
19,lastpricesign,9,1,
20,lastprice,9,5,??) 999.99
21,accumtradequantity,9,7,
22,accumtradeamount,9,12,????:o??; ????? ????(11->12) - 2011.05.23
23,eot,9,1,%Hff
0,KrxFuturesTradeBestQuotation,,,G7014
1,datatype,9,2,G7
2,infotype,9,2,01:KOSPI200????????
3,markettype,9,1,4
4,krcode,X,12,
5,seq,9,2,
6,currentpricesign,9,1,
7,currentprice,9,5,??) 999.99
8,tradequantity,9,6,
9,tradetype,9,2,1)?????  10 : ?ð?????? 11 : ?ð?????????? 20 : ???????? 21 : ???????????? 30 : ?????????  40 : ???? 80 : ???????u??
10,timestamp,9,8,
11,closesttradeprice,9,5,??) 999.99
12,distanttradeprice,9,5,??) 999.99
13,marketpricesign,9,1,
14,marketprice,9,5,??) 999.99
15,highpricesign,9,1,
16,highprice,9,5,??) 999.99
17,lowpricesign,9,1,
18,lowprice,9,5,??) 999.99
19,lastpricesign,9,1,
20,lastprice,9,5,??) 999.99
21,accumtradequantity,9,7,
22,accumtradeamount,9,12,????:o??;  ????? ????(11->12) - 2011.05.23
23,marketstatecode,9,2,*????? o???? ?????? 00 : ???(??????) 10 : ?ð?????? 11 : ?ð?????????? 20 : ???????? 21 : ???????????? 30 : ????????? 40 : ???? 80 : ???????u??(?????u??) 90 : ??????? 99 : ??????
24,bidtotalquantity,9,6,
25,bid1sign,9,1,
26,bid1price,9,5,??) 999.99
27,bid1quantity,9,6,
28,bid2sign,9,1,
29,bid2price,9,5,??) 999.99
30,bid2quantity,9,6,
31,bid3sign,9,1,
32,bid3price,9,5,??) 999.99
33,bid3quantity,9,6,
34,bid4sign,9,1,
35,bid4price,9,5,??) 999.99
36,bid4quantity,9,6,
37,bid5sign,9,1,
38,bid5price,9,5,??) 999.99
39,bid5quantity,9,6,
40,asktotalquantity,9,6,
41,ask1sign,9,1,
42,ask1price,9,5,??) 999.99
43,ask1quantity,9,6,
44,ask2sign,9,1,
45,ask2price,9,5,??) 999.99
46,ask2quantity,9,6,
47,ask3sign,9,1,
48,ask3price,9,5,??) 999.99
49,ask3quantity,9,6,
50,ask4sign,9,1,
51,ask4price,9,5,??) 999.99
52,ask4quantity,9,6,
53,ask5sign,9,1,
54,ask5price,9,5,??) 999.99
55,ask5quantity,9,6,
56,bidtotalvalidnum,9,5,
57,bid1totalvalidnum,9,4,
58,bid2totalvalidnum,9,4,
59,bid3totalvalidnum,9,4,
60,bid4totalvalidnum,9,4,
61,bid5totalvalidnum,9,4,
62,asktotalvalidnum,9,5,
63,ask1totalvalidnum,9,4,
64,ask2totalvalidnum,9,4,
65,ask3totalvalidnum,9,4,
66,ask4totalvalidnum,9,4,
67,ask5totalvalidnum,9,4,
68,eot,9,1,%Hff
0,KrxFuturesEnd,,,A6014
1,datatype,9,2,A6
2,infotype,9,2,01:KOSPI200????????
3,markettype,9,1,4
4,krcode,X,12,
5,seq,9,2,
6,endpricesign,9,1,
7,endprice,9,5,* ????? ?????? ???? ????? set; ??) 999.99
8,endpricecode,9,1,1:u????; 3:????? 2:?? -2012.05.14 ????
9,accumtradequantity,9,7,
10,accumtradeamount,9,12,????:o??; ????? ????(11->12) - 2011.05.23
11,bidtotalquantity,9,6,
12,bid1sign,9,1,
13,bid1price,9,5,??) 999.99
14,bid1quantity,9,6,
15,bid2sign,9,1,
16,bid2price,9,5,??) 999.99
17,bid2quantity,9,6,
18,bid3sign,9,1,
19,bid3price,9,5,??) 999.99
20,bid3quantity,9,6,
21,bid4sign,9,1,
22,bid4price,9,5,??) 999.99
23,bid4quantity,9,6,
24,bid5sign,9,1,
25,bid5price,9,5,??) 999.99
26,bid5quantity,9,6,
27,asktotalquantity,9,6,
28,ask1sign,9,1,
29,ask1price,9,5,??) 999.99
30,ask1quantity,9,6,
31,ask2sign,9,1,
32,ask2price,9,5,??) 999.99
33,ask2quantity,9,6,
34,ask3sign,9,1,
35,ask3price,9,5,??) 999.99
36,ask3quantity,9,6,
37,ask4sign,9,1,
38,ask4price,9,5,??) 999.99
39,ask4quantity,9,6,
40,ask5sign,9,1,
41,ask5price,9,5,??) 999.99
42,ask5quantity,9,6,
43,bidtotalvalidnum,9,5,??) 999.99
44,bid1totalvalidnum,9,4,
45,bid2totalvalidnum,9,4,
46,bid3totalvalidnum,9,4,
47,bid4totalvalidnum,9,4,
48,bid5totalvalidnum,9,4,
49,asktotalvalidnum,9,5,
50,ask1totalvalidnum,9,4,
51,ask2totalvalidnum,9,4,
52,ask3totalvalidnum,9,4,
53,ask4totalvalidnum,9,4,
54,ask5totalvalidnum,9,4,
55,eot,9,1,%Hff
0,KrxFuturesMarketManage,,,A7014
1,datatype,9,2,A7
2,infotype,9,2,01:KOSPI200????????
3,markettype,9,1,4
4,timestamp,9,8,
5,marketmanagecode,9,3,
6,stockid,9,10,
7,krcode,X,12,
8,seq,9,2,
9,marketstatecode,9,2,*????? o???? ?????? 00 : ???(??????) 10 : ?ð?????? 11 : ?ð?????????? 20 : ???????? 21 : ???????????? 30 : ????????? 40 : ???? 80 : ???????u??(?????u??) 90 : ??????? 99 : ??????
10,bidaskexistyn,9,1,0:???????; 1:???????
11,bidtotalquantity,9,6,
12,bid1sign,9,1,
13,bid1price,9,5,??) 999.99
14,bid1quantity,9,6,
15,bid2sign,9,1,
16,bid2price,9,5,??) 999.99
17,bid2quantity,9,6,
18,bid3sign,9,1,
19,bid3price,9,5,??) 999.99
20,bid3quantity,9,6,
21,bid4sign,9,1,
22,bid4price,9,5,??) 999.99
23,bid4quantity,9,6,
24,bid5sign,9,1,
